order,date,name,website,address,lat,long
12,12/29/24,Leather Archives And Museum,https://www.leatherarchives.org/,"6418 N Greenview Ave, Chicago, IL 60626",41.99850497,-87.66830147
1,2/9/24,Swedish American Museum,https://www.swedishamericanmuseum.org/,"5211 N Clark St, Chicago, IL 60640",41.97666168,-87.66826447
5,12/21/24,Edgewater Historical Society Museum,https://www.edgewaterhistory.org/,"5358 N Ashland Ave, Chicago, IL 60640",41.97967479,-87.66993458
3,12/18/24,Chinese American Museum of Chicago,https://www.camochicago.org/,"238 W 23rd St, Chicago, IL 60616",41.8511589,-87.63353908
4,12/18/24,Chicago Maritime Museum,https://www.chicagomaritimemuseum.org/,"1200 W 35th St, Chicago, IL 60609",41.83155777,-87.65692318
2,2/10/24,Museum of Contemporary Photography,https://mocp.org/,"600 S Michigan Ave, Chicago, IL 60605",41.87431643,-87.62470203
6,12/22/24,International Museum of Surgical Science,https://www.imss.org/,"1524 N Lake Shore Dr, Chicago, IL 60610",41.9102538,-87.62661474
7,12/22/24,The Richard H. Driehaus Museum,https://www.driehausmuseum.org/,"50 E Erie St, Chicago, IL 60611",41.89434495,-87.62626109
8,12/26/24,Chicago Fed Money Museum,https://www.chicagofed.org/education/money-museum/index,"230 S LaSalle St, Chicago, IL 60604",41.87857145,-87.63250529
9,12/26/24,Design Museum of Chicago,https://designchicago.org/,"72 E Randolph St Floor 1, Chicago, IL 60601",41.88461806,-87.62543944
10,12/26/24,American Writers Museum,https://www.americanwritersmuseum.org/,"180 North N Michigan Ave, Chicago, IL 60601",41.8855462,-87.62479752
11,12/27/24,DuSable Black History Museum,https://dusablemuseum.org/,"740 E 56th Pl, Chicago, IL 60637",41.79186438,-87.60715783
